added,collx_id,number,name,team,year,brand,set,flags,condition,front_image,back_image,market_value,asking_price,sold_for_price,location,notes
3/23/25,592319325,700,Nolan Ryan,Texas Rangers,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319325-front.jpg,,0.99,200,,,
3/23/25,592319304,669,Kip Yaughn,Florida Marlins,1993,Topps,1993 Topps,RC,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319304-front.jpg,,2.14,5,,,
3/23/25,592319308,728,Steve Frey,California Angels,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319308-front.jpg,,0.06,1,,,
3/23/25,592319291,548,Lance Blankenship,Oakland Athletics,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319291-front.jpg,,1.02,1,,,
3/23/25,592319295,440,Ruben Sierra,Oakland Athletics,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319295-front.jpg,,0.74,1,,,
3/23/25,592319296,744,Chris George,Milwaukee Brewers,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319296-front.jpg,,1.80,2,,,
3/23/25,592319280,420,Kevin Tapani,Minnesota Twins,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319280-front.jpg,,1.12,3,,,
3/23/25,592319281,591,Alex Cole,Colorado Rockies,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319281-front.jpg,,12.49,12.49,,,
3/23/25,592319283,698,Ted Wood,San Francisco Giants,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319283-front.jpg,,1.99,2,,,
3/23/25,592319286,487,Jessie Hollins,Chicago Cubs,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319286-front.jpg,,0.00,15,,,
3/23/25,592319275,76,Kevin Appier,Kansas City Royals,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319275-front.jpg,,0.99,1,,,
3/23/25,592319278,460,Randy Johnson,Seattle Mariners,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319278-front.jpg,,1.00,15,,,
3/23/25,592319271,678,Randy Milligan,Baltimore Orioles,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319271-front.jpg,,0.15,8,,,
3/23/25,592319272,784,Jeff Branson,Cincinnati Reds,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319272-front.jpg,,0.89,1,,,
3/23/25,592319261,675,Tim Raines,Chicago White Sox,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319261-front.jpg,,0.73,1,,,
3/23/25,592319263,823,Checklist 4: 397-540,,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319263-front.jpg,,,1,,,
3/23/25,592319265,583,Marvin Freeman,Atlanta Braves,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319265-front.jpg,,0.38,3,,,
3/23/25,592319249,73,Mike Moore,Oakland Athletics,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319249-front.jpg,,1.49,9.99,,,
3/23/25,592319254,41,Alex Fernandez,Chicago White Sox,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319254-front.jpg,,0.12,1,,,
3/23/25,592319258,,Unnamed Card,,,,,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319258-front.jpg,,,4,,,1992 Top Prospects First Baseman;
3/23/25,592319244,162,Joe Hesketh,Boston Red Sox,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319244-front.jpg,,0.44,4,,,
3/23/25,592319245,39,Roger McDowell,Los Angeles Dodgers,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319245-front.jpg,,0.29,1,,,
3/23/25,592319235,194,Jerald Clark,San Diego Padres,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319235-front.jpg,,0.47,1,,,
3/23/25,592319238,103,Jody Reed,Boston Red Sox,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319238-front.jpg,,1.24,1,,,
3/23/25,592319240,188,Sid Fernandez,New York Mets,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319240-front.jpg,,1.37,2,,,
3/23/25,592319242,113,Thomas Howard,Cleveland Indians,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319242-front.jpg,,0.32,2,,,
3/23/25,592319230,262,Mickey Morandini,Philadelphia Phillies,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319230-front.jpg,,2.95,3,,,
3/23/25,592319233,242,Charlie O'Brien,New York Mets,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319233-front.jpg,,0.45,1,,,
3/23/25,592319234,199,Junior Ortiz,Cleveland Indians,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319234-front.jpg,,0.12,1,,,
3/23/25,592319220,398,Bobby Witt,Oakland Athletics,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319220-front.jpg,,0.75,1,,,
3/23/25,592319223,276,Paul O'Neill,Cincinnati Reds,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319223-front.jpg,,0.06,1,,,
3/23/25,592319226,297,Jeff Innis,New York Mets,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319226-front.jpg,,0.18,2.5,,,
3/23/25,592319227,266,Rene Gonzales,California Angels,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319227-front.jpg,,2.38,2,,,
3/23/25,592319201,415,Todd Frohwirth,Baltimore Orioles,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319201-front.jpg,,3.66,5,,,
3/23/25,592319202,414,Juan Guerrero,Houston Astros,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319202-front.jpg,,0.06,6,,,
3/23/25,592319207,412,Jamie McAndrew,Florida Marlins,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319207-front.jpg,,1.29,1.5,,,
3/23/25,592319213,399,Daryl Boston,New York Mets,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319213-front.jpg,,1.00,4,,,
3/23/25,592319194,427,Bob MacDonald,Toronto Blue Jays,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319194-front.jpg,,0.99,1,,,
3/23/25,592319197,425,Joe Girardi,Colorado Rockies,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319197-front.jpg,,4.99,5,,,
3/23/25,592319198,420,Kevin Tapani,Minnesota Twins,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319198-front.jpg,,1.12,3,,,
3/23/25,592319200,417,B.J. Surhoff,Milwaukee Brewers,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319200-front.jpg,,1.99,2,,,
3/23/25,592319183,439,Bryan Harvey,Florida Marlins,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319183-front.jpg,,0.00,1,,,
3/23/25,592319187,434,Jack Armstrong,Cleveland Indians,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319187-front.jpg,,0.21,1.5,,,
3/23/25,592319188,432,Pete Young,Montreal Expos,1993,Topps,1993 Topps,RC,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319188-front.jpg,,1.16,1,,,
3/23/25,592319190,429,Milt Cuyler,Detroit Tigers,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319190-front.jpg,,6.95,7,,,
3/23/25,592319193,428,Todd Zeile,St. Louis Cardinals,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319193-front.jpg,,1.66,2,,,
3/23/25,592319176,455,Chili Davis,Minnesota Twins,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319176-front.jpg,,1.20,10,,,
3/23/25,592319180,454,John Johnstone,Florida Marlins,1993,Topps,1993 Topps,RC,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319180-front.jpg,,1.98,4,,,
3/23/25,592319182,449,James Austin,Milwaukee Brewers,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319182-front.jpg,,2.00,2,,,
3/23/25,592319173,461,Steve Reed,Colorado Rockies,1993,Topps,1993 Topps,RC,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319173-front.jpg,,0.10,2,,,
3/23/25,592319164,466,Mike Felder,San Francisco Giants,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319164-front.jpg,,0.00,1,,,
3/23/25,592319166,464,Greg Colbrunn,Montreal Expos,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319166-front.jpg,,0.00,1,,,
3/23/25,592319152,470,Rob Dibble,Cincinnati Reds,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319152-front.jpg,,0.77,1,,,
3/23/25,592319158,469,Dave Hansen,Los Angeles Dodgers,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319158-front.jpg,,1.00,2,,,
3/23/25,592319142,474,Ozzie Guillen,Chicago White Sox,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319142-front.jpg,,10.41,10.41,,,
3/23/25,592319144,473,Dave Henderson,Oakland Athletics,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319144-front.jpg,,2.26,5,,,
3/23/25,592319149,472,Chris Gwynn,Kansas City Royals,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319149-front.jpg,,1.55,8,,,
3/23/25,592319131,483,Brian Griffiths,Florida Marlins,1993,Topps,1993 Topps,RC,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319131-front.jpg,,0.02,1,,,
3/23/25,592319133,482,Darren Reed,Minnesota Twins,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319133-front.jpg,,1.27,4,,,
3/23/25,592319137,477,Jimmy Jones,Houston Astros,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319137-front.jpg,,1.74,2,,,
3/23/25,592319140,475,Jeff Reardon,Atlanta Braves,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319140-front.jpg,,1.87,3,,,
3/23/25,592319120,411,Lee Smith / Dennis Eckersley,,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319120-front.jpg,,0.00,1,,,
3/23/25,592319121,496,Reggie Jefferson,Cleveland Indians,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319121-front.jpg,,0.00,1,,,
3/23/25,592319125,491,Shawn Hare,Detroit Tigers,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319125-front.jpg,,0.40,1,,,
3/23/25,592319127,486,Eric Wedge,Colorado Rockies,1993,Topps,1993 Topps,RC,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319127-front.jpg,,2.33,3,,,
3/23/25,592319114,480,Pat Listach,Milwaukee Brewers,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319114-front.jpg,,1.35,3.5,,,
3/23/25,592319116,423,Ryan Klesko / Ivan Cruz / Bubba Smith / Larry Sutton,,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319116-front.jpg,,,1,,,
3/23/25,592319118,497,Matt Petersen / Willie Brown,Florida Marlins,1993,Topps,1993 Topps,RC,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319118-front.jpg,,,1,,,
3/23/25,592319119,421,Curt Schilling,Philadelphia Phillies,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319119-front.jpg,,0.82,5,,,
3/23/25,592319101,458,David Wells,Toronto Blue Jays,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319101-front.jpg,,0.00,5,,,
3/23/25,592319102,486,Eric Wedge,Colorado Rockies,1993,Topps,1993 Topps,RC,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319102-front.jpg,,2.33,3,,,
3/23/25,592319104,422,J.T. Snow,New York Yankees,1993,Topps,1993 Topps,RC,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319104-front.jpg,,1.24,7,,,
3/23/25,592319109,420,Kevin Tapani,Minnesota Twins,1993,Topps,1993 Topps Micro,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319109-front.jpg,,1.64,1,,,
3/23/25,592319090,504,Gene Lamont / Don Baylor,,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319090-front.jpg,,1.98,1.5,,,
3/23/25,592319091,511,Tony LaRussa / Jim Leyland,,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319091-front.jpg,,1.50,2,,,
3/23/25,592319093,514,Cito Gaston / Dusty Baker,,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319093-front.jpg,,0.00,1,,,
3/23/25,592319095,522,Shane Reynolds,Houston Astros,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319095-front.jpg,,2.37,3,,,
3/23/25,592319097,448,Ken Caminiti,Houston Astros,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319097-front.jpg,,1.87,2.75,,,
3/23/25,592319073,521,Kevin Flora,California Angels,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319073-front.jpg,,18.57,20,,,
3/23/25,592319077,521,Kevin Flora,California Angels,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319077-front.jpg,,18.57,20,,,
3/23/25,592319085,519,David Howard,Kansas City Royals,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319085-front.jpg,,1.99,2,,,
3/23/25,592319088,516,Alex Arias,Florida Marlins,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319088-front.jpg,,4.99,5,,,
3/23/25,592319061,534,Randy Knorr,Toronto Blue Jays,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319061-front.jpg,,1.25,2,,,
3/23/25,592319063,530,Sterling Hitchcock,New York Yankees,1993,Topps,1993 Topps,RC,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319063-front.jpg,,0.65,1.8,,,
3/23/25,592319068,524,Chris Hoiles,Baltimore Orioles,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319068-front.jpg,,1.99,2,,,
3/23/25,592319070,524,Chris Hoiles,Baltimore Orioles,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319070-front.jpg,,1.99,2,,,
3/23/25,592319056,539,Kerry Woodson,Seattle Mariners,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319056-front.jpg,,0.74,1,,,
3/23/25,592319058,536,Dave Haas,Detroit Tigers,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319058-front.jpg,,1.12,1,,,
3/23/25,592319048,552,Jeff Blauser,Atlanta Braves,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319048-front.jpg,,2.79,6,,,
3/23/25,592319049,546,Hal Morris,Cincinnati Reds,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319049-front.jpg,,0.99,1,,,
3/23/25,592319053,544,Steve Decker,Florida Marlins,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319053-front.jpg,,0.99,1,,,
3/23/25,592319054,540,Ivan Calderon,Montreal Expos,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319054-front.jpg,,0.99,1,,,
3/23/25,592319035,560,Zane Smith,Pittsburgh Pirates,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319035-front.jpg,,1.24,2,,,
3/23/25,592319038,556,Darryl Hamilton,Milwaukee Brewers,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319038-front.jpg,,10.51,10,,,
3/23/25,592319044,555,Terry Mulholland,Philadelphia Phillies,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319044-front.jpg,,2.03,2,,,
3/23/25,592319046,554,Arthur Rhodes,Baltimore Orioles,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319046-front.jpg,,0.22,1,,,
3/23/25,592319024,570,Tim Wallach,Montreal Expos,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319024-front.jpg,,0.00,22.99,,,
3/23/25,592319028,568,Andy Benes,San Diego Padres,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319028-front.jpg,,0.00,26,,,
3/23/25,592319030,578,Dave Magadan,New York Mets,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319030-front.jpg,,1.99,3,,,
3/23/25,592319031,561,Matt Nokes,New York Yankees,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319031-front.jpg,,0.05,1,,,
3/23/25,592319013,565,Jerald Clark,Colorado Rockies,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319013-front.jpg,,0.10,1,,,
3/23/25,592319017,564,Mike Timlin,Toronto Blue Jays,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319017-front.jpg,,0.74,1,,,
3/23/25,592319020,577,Tim Costo,Cincinnati Reds,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319020-front.jpg,,0.99,1,,,
3/23/25,592319006,578,Dave Magadan,New York Mets,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319006-front.jpg,,1.99,3,,,
3/23/25,592319008,569,Shawn Barton,Seattle Mariners,1993,Topps,1993 Topps,RC,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319008-front.jpg,,0.37,1,,,
3/23/25,592319011,568,Andy Benes,San Diego Padres,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319011-front.jpg,,0.00,20,,,
3/23/25,592318993,585,Ricky Jordan,Philadelphia Phillies,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592318993-front.jpg,,0.74,4,,,
3/23/25,592318996,581,Chris Haney,Kansas City Royals,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592318996-front.jpg,,0.44,1,,,
3/23/25,592319000,580,Walt Weiss,Oakland Athletics,1993,Topps,1993 Topps,,Near Mint,https://storage.googleapis.com/collx-user-cards/60754-592319000-front.jpg,,0.00,1,,,
